KRT16P4,ENSG00000229526
MRPL57,ENSG00000173141
PSMA7,ENSG00000101182
MRPL54,ENSG00000183617
TMEM70,ENSG00000175606
TMEM71,ENSG00000165071
PSMA8,ENSG00000154611
MRPL55,ENSG00000162910
NTF4,ENSG00000225950
PSMB6,ENSG00000142507
TMEM69,ENSG00000159596
PSMB7,ENSG00000136930
PSMB4,ENSG00000159377
PSMB5,ENSG00000100804
BTAF1,ENSG00000095564
C18ORF25,ENSG00000152242
PSMB2,ENSG00000126067
TMEM65,ENSG00000164983
HAS1,ENSG00000105509
TMEM67,ENSG00000164953
NTF3,ENSG00000185652
PSMB1,ENSG00000008018
TMEM68,ENSG00000167904
C18ORF21,ENSG00000141428
CLPTM1,ENSG00000104853
HAS3,ENSG00000103044
TMEM97P1,ENSG00000234030
HAS2,ENSG00000170961
KRTAP2-3,ENSG00000262862
CEPT1,ENSG00000134255
KRTAP2-2,ENSG00000214518
OR1F2P,ENSG00000203581
TRMT10A,ENSG00000145331
TRMT10B,ENSG00000165275
TRMT10C,ENSG00000174173
USP9X,ENSG00000124486
USP9Y,ENSG00000114374
TMEM61,ENSG00000143001
TMEM62,ENSG00000137842
HORMAD2-AS1,ENSG00000227117
TMEM64,ENSG00000180694
PLXDC2,ENSG00000120594
TMCO4,ENSG00000162542
TMCO3,ENSG00000150403
PLXDC1,ENSG00000161381
PSMB8,ENSG00000230669
TMCO2,ENSG00000188800
TMEM60,ENSG00000135211
TMCO1,ENSG00000143183
SPSB3,ENSG00000162032
TMEM59,ENSG00000116209
SPSB2,ENSG00000111671
PSMC5,ENSG00000087191
SPSB1,ENSG00000171621
TMCO6,ENSG00000113119
PSMC6,ENSG00000100519
PSMC3,ENSG00000165916
TMEM54,ENSG00000121900
PSMC4,ENSG00000013275
PSMC1,ENSG00000100764
PSMC2,ENSG00000161057
C18ORF32,ENSG00000177576
ADH5P2,ENSG00000232676
ADH5P3,ENSG00000223694
RNU6-324P,ENSG00000200827
ZNRF3-AS1,ENSG00000177993
NOMO3,ENSG00000278087
SAT2,ENSG00000141504
SAT1,ENSG00000130066
EIF4ENIF1,ENSG00000184708
SESN3,ENSG00000149212
SESN1,ENSG00000080546
SESN2,ENSG00000285069
SCMH1,ENSG00000010803
NEPRO,ENSG00000163608
NOMO1,ENSG00000278087
NOMO2,ENSG00000185164
RNU6-451P,ENSG00000199791
PIPOX,ENSG00000179761
UBALD1,ENSG00000153443
UBALD2,ENSG00000185262
HAT1,ENSG00000128708
C18ORF54,ENSG00000166845
DYDC2,ENSG00000133665
SQSTM1,ENSG00000161011
RNU6-584P,ENSG00000222282
TRABD2A,ENSG00000186854
ISG20L2,ENSG00000143319
TMEM31,ENSG00000179363
CYP19A1,ENSG00000137869
SAV1,ENSG00000151748
TMEM25,ENSG00000149582
CTIF,ENSG00000134030
TMEM26,ENSG00000196932
RPS21P1,ENSG00000229795
RNU6-321P,ENSG00000222844
MYPOP,ENSG00000176182
RBPMS,ENSG00000157110
TFPI2,ENSG00000105825
DCDC2,ENSG00000146038
QKI,ENSG00000112531
DCDC1,ENSG00000170959
PTPRD,ENSG00000153707
PTPRE,ENSG00000132334
MLXIPL,ENSG00000009950
PTPRB,ENSG00000127329
TMEM17,ENSG00000186889
CFLAR-AS1,ENSG00000226312
PTPRA,ENSG00000132670
TMEM11,ENSG00000178307
TMEM18,ENSG00000151353
TMEM19,ENSG00000139291
GDPGP1,ENSG00000183208
SLC25A5-AS1,ENSG00000224281
ZNF512B,ENSG00000196700
FASLG,ENSG00000117560
NADK2,ENSG00000152620
HMGN1P33,ENSG00000230326
DIS3L2,ENSG00000144535
TUBB8P1,ENSG00000229298
TUBB8P2,ENSG00000218896
RNU6-580P,ENSG00000202029
TUBB8P6,ENSG00000224625
TUBB8P8,ENSG00000213113
HAX1,ENSG00000143575
MTRF1L,ENSG00000112031
AHDC1,ENSG00000126705
RBPJL,ENSG00000124232
RNU6-450P,ENSG00000201524
MAK16,ENSG00000198042
NTN4,ENSG00000074527
NTN5,ENSG00000142233
NTN1,ENSG00000065320
NTN3,ENSG00000162068
GANAB,ENSG00000089597
PTPN1,ENSG00000196396
CTNS,ENSG00000040531
PRKAR1AP1,ENSG00000233401
PTPN9,ENSG00000169410
PTPN6,ENSG00000111679
PTPN7,ENSG00000143851
PTPN4,ENSG00000088179
PTPN2,ENSG00000175354
PTPN3,ENSG00000070159
RNVU1-3,ENSG00000201183
GDI2P2,ENSG00000233994
ERRFI1,ENSG00000116285
RNVU1-6,ENSG00000201558
KDELR1,ENSG00000105438
RNVU1-1,ENSG00000207340
THUMPD2,ENSG00000138050
KEAP1,ENSG00000079999
THUMPD3,ENSG00000134077
THUMPD1,ENSG00000066654
SPATA20,ENSG00000006282
SPATA25,ENSG00000149634
AADACL3,ENSG00000188984
AADACL4,ENSG00000204518
SPATA21,ENSG00000187144
SPATA24,ENSG00000170469
KIF21A,ENSG00000139116
KIF21B,ENSG00000116852
SCN1B,ENSG00000105711
SCN1A,ENSG00000144285
ACVR1,ENSG00000115170
ST6GAL1,ENSG00000073849
ST6GAL2,ENSG00000144057
RSAD2,ENSG00000134321
MYCBP2-AS2,ENSG00000229521
SFMBT1,ENSG00000163935
SFMBT2,ENSG00000198879
RSAD1,ENSG00000136444
ANK2,ENSG00000145362
ANK3,ENSG00000151150
ANK1,ENSG00000029534
SPATA16,ENSG00000144962
SPATA17,ENSG00000162814
DIAPH3-AS1,ENSG00000227528
SPATA12,ENSG00000186451
SPATA13,ENSG00000182957
WFDC10A,ENSG00000180305
KDELR2,ENSG00000136240
ALPK3,ENSG00000136383
KIF20A,ENSG00000112984
KDELR3,ENSG00000100196
ALPK2,ENSG00000198796
WFDC10B,ENSG00000182931
SPATA18,ENSG00000163071
KIF20B,ENSG00000138182
ALPK1,ENSG00000073331
CTR9,ENSG00000198730
WNK4,ENSG00000126562
PIEZO1P1,ENSG00000233686
TGOLN2,ENSG00000152291
ANKH,ENSG00000154122
HIVEP1,ENSG00000095951
SYMPK,ENSG00000125755
HIVEP3,ENSG00000127124
HIVEP2,ENSG00000010818
SCN3B,ENSG00000166257
SCN3A,ENSG00000153253
OR7E23P,ENSG00000228433
CTSA,ENSG00000064601
ANLN,ENSG00000011426
CTRL,ENSG00000141086
WNK1,ENSG00000060237
WNK2,ENSG00000165238
WNK3,ENSG00000196632
SCN2A,ENSG00000136531
RNVU1-7,ENSG00000206585
CTRC,ENSG00000162438
SCN2B,ENSG00000149575
OR7E22P,ENSG00000179799
PTPRT,ENSG00000196090
PTPRU,ENSG00000060656
PTPRR,ENSG00000153233
PTPRS,ENSG00000105426
USPL1,ENSG00000132952
PTGDR2,ENSG00000183134
PTPRN,ENSG00000054356
CTSZ,ENSG00000101160
PTPRO,ENSG00000151490
TECR,ENSG00000099797
HDAC1P2,ENSG00000233012
PTPRM,ENSG00000173482
CTSW,ENSG00000172543
PTPRJ,ENSG00000149177
N4BP2L1,ENSG00000139597
CTSV,ENSG00000136943
PTPRK,ENSG00000152894
PTPRH,ENSG00000080031
CTSS,ENSG00000163131
PTPRF,ENSG00000142949
LARP1B,ENSG00000138709
PTPRG,ENSG00000144724
BABAM1,ENSG00000269307
BABAM2,ENSG00000158019
SCML2,ENSG00000102098
SCML1,ENSG00000047634
CTSL,ENSG00000135047
CTSK,ENSG00000143387
CTSH,ENSG00000103811
PIPSL,ENSG00000180764
CTSF,ENSG00000174080
CTSE,ENSG00000196188
OR7E25P,ENSG00000187847
CTSD,ENSG00000117984
CTSC,ENSG00000109861
CTSB,ENSG00000164733
ANO8,ENSG00000074855
ANO9,ENSG00000185101
ANO6,ENSG00000177119
HBA1,ENSG00000206172
ANO7,ENSG00000146205
ANO4,ENSG00000151572
YBX1P4,ENSG00000213188
ANO5,ENSG00000171714
SUPT3H,ENSG00000196284
PSMA2P3,ENSG00000227890
ANO3,ENSG00000134343
NR5A1,ENSG00000136931
CTU2,ENSG00000174177
ANO1,ENSG00000131620
CTU1,ENSG00000142544
NR5A2,ENSG00000116833
CTTN,ENSG00000085733
ZNF780B,ENSG00000128000
ZNF780A,ENSG00000280568
MIR128-1,ENSG00000207654
LNP1,ENSG00000206535
RAMP2,ENSG00000131477
SLC43A2,ENSG00000278550
SLC43A3,ENSG00000134802
SLC43A1,ENSG00000149150
CAMKK1,ENSG00000004660
CAMKK2,ENSG00000110931
STAMBPL1,ENSG00000138134
CAMK2N1,ENSG00000162545
CAMK2N2,ENSG00000163888
LNPK,ENSG00000144320
AASDHPPT,ENSG00000149313
TEFM,ENSG00000172171
ATP8A2P2,ENSG00000229800
PDXDC2P-NPIPB14P,ENSG00000196696
KIF26B,ENSG00000162849
RAMP1,ENSG00000132329
IGBP1P3,ENSG00000231552
SCARB2,ENSG00000138760
DCLRE1B,ENSG00000118655
SCARB1,ENSG00000073060
DCLRE1A,ENSG00000198924
DCLRE1C,ENSG00000152457
GIMAP1,ENSG00000213203
GXYLT1,ENSG00000151233
GIMAP2,ENSG00000106560
GXYLT2,ENSG00000172986
SCN9A,ENSG00000169432
OSTF1,ENSG00000134996
SBF1,ENSG00000100241
SBF2,ENSG00000133812
SLC30A7,ENSG00000162695
SLC30A6,ENSG00000152683
SLC30A9,ENSG00000014824
SCARA3,ENSG00000168077
SLC30A8,ENSG00000164756
ZGPAT,ENSG00000197114
SLC30A3,ENSG00000115194
SCARA5,ENSG00000168079
SLC30A2,ENSG00000158014
ATG9B,ENSG00000181652
SLC30A5,ENSG00000145740
HBE1,ENSG00000213931
SLC30A4,ENSG00000104154
ATG9A,ENSG00000198925
LMTK3,ENSG00000142235
LMTK2,ENSG00000164715
SLC30A1,ENSG00000170385
ATAD3B,ENSG00000160072
ATAD3A,ENSG00000197785
SUPT7L,ENSG00000119760
CAMKMT,ENSG00000143919
ATAD3C,ENSG00000215915
NPSR1-AS1,ENSG00000197085
HNRNPUL1,ENSG00000105323
HNRNPUL2,ENSG00000214753
SCN8A,ENSG00000196876
SBDS,ENSG00000126524
UQCRBP2,ENSG00000227941
SUPT6H,ENSG00000109111
NKAPL,ENSG00000189134
WNT6,ENSG00000115596
CALHM1,ENSG00000185933
CALHM2,ENSG00000138172
LINC00710,ENSG00000229240
MTND4P1,ENSG00000228597
MTND4P3,ENSG00000225959
MTND4P6,ENSG00000224042
WNT2,ENSG00000105989
MTND4P5,ENSG00000227584
WNT3,ENSG00000277626
WNT4,ENSG00000162552
SPATA6L,ENSG00000106686
HBG2,ENSG00000196565
HBG1,ENSG00000213934
INHBB,ENSG00000163083
INHBA,ENSG00000122641
TPTEP1,ENSG00000290418
SUPT5H,ENSG00000196235
CALHM3,ENSG00000183128
INHBE,ENSG00000139269
COL5A1,ENSG00000130635
LINC00703,ENSG00000224382
COL5A3,ENSG00000080573
COL5A2,ENSG00000204262
RNU12-2P,ENSG00000201659
SCN5A,ENSG00000183873
BUD23,ENSG00000071462
SCARF1,ENSG00000276336
GALNT9,ENSG00000182870
GALNT8,ENSG00000130035
SLC44A3-AS1,ENSG00000224081
BUD31,ENSG00000106245
DNAJA1P4,ENSG00000218089
TEX13B,ENSG00000170925
PPDPF,ENSG00000125534
INTS4P1,ENSG00000290545
DNAJA1P1,ENSG00000223717
ATG4C,ENSG00000125703
ATG4B,ENSG00000168397
SCN4A,ENSG00000007314
ATG4A,ENSG00000101844
SCN4B,ENSG00000177098
ATG4D,ENSG00000130734
BCL2A1,ENSG00000140379
TEX101,ENSG00000131126
SPATA41,ENSG00000189419
SPATA42,ENSG00000203897
CLCN3,ENSG00000109572
CLCN2,ENSG00000114859
CLCN1,ENSG00000188037
ATAD2B,ENSG00000119778
SPATA45,ENSG00000185523
SPATA46,ENSG00000171722
SCN7A,ENSG00000136546
RPL17P1,ENSG00000229500
GALNT7,ENSG00000109586
GALNT6,ENSG00000139629
GALNT5,ENSG00000136542
GALNT3,ENSG00000115339
GALNT2,ENSG00000143641
GALNT1,ENSG00000141429
PDAP1,ENSG00000106244
SPATA2L,ENSG00000158792
CLCN7,ENSG00000103249
SBK2,ENSG00000187550
CLCN6,ENSG00000011021
SBK3,ENSG00000231274
CLCN5,ENSG00000171365
CLCN4,ENSG00000073464
SBK1,ENSG00000188322
SPATA32,ENSG00000184361
FAM131C,ENSG00000185519
SPATA33,ENSG00000167523
FAM131B,ENSG00000159784
FAM131A,ENSG00000175182
LNX1,ENSG00000072201
BUD13,ENSG00000137656
CLUAP1,ENSG00000103351
RAN,ENSG00000132341
LNX2,ENSG00000139517
RB1,ENSG00000139687
ROPN1B,ENSG00000114547
CYFIP2,ENSG00000055163
RPLP0P6,ENSG00000213553
LINC00661,ENSG00000205396
GABPB2,ENSG00000143458
TRRAP,ENSG00000196367
COL12A1,ENSG00000111799
RN7SKP160,ENSG00000200674
RAX,ENSG00000134438
RN7SKP161,ENSG00000223042
GABPB1,ENSG00000104064
PPIAP30,ENSG00000206448
RPS4XP8,ENSG00000219146
RPS4XP7,ENSG00000218265
RN7SKP168,ENSG00000222842
ZXDA,ENSG00000198205
NUB1,ENSG00000013374
LINC00659,ENSG00000228705
TEPP,ENSG00000159648
ZXDB,ENSG00000198455
ZXDC,ENSG00000070476
RNU6-206P,ENSG00000206843
ROPN1L,ENSG00000145491
MPV17,ENSG00000115204
NFRKB,ENSG00000170322
IER5,ENSG00000162783
LINC00652,ENSG00000179935
IER2,ENSG00000160888
IER3,ENSG00000137331
LINC00654,ENSG00000205181
CUBN,ENSG00000107611
LINC01981,ENSG00000229243
LINC01980,ENSG00000225548
RPS4XP4,ENSG00000215520
RN7SKP158,ENSG00000222385
RPS4XP3,ENSG00000214541
RPS4XP5,ENSG00000229920
RN7SKP153,ENSG00000201896
TEP1,ENSG00000129566
RN7SKP151,ENSG00000222162
RPS4XP2,ENSG00000226948
RPS4XP1,ENSG00000214203
CLPSL1,ENSG00000204140
HPRT1,ENSG00000165704
CLPSL2,ENSG00000196748
LINC01972,ENSG00000230401
ASF1A,ENSG00000111875
LINC01973,ENSG00000204283
ASF1B,ENSG00000288210
LINC00680,ENSG00000290555
RD3,ENSG00000198570
POM121,ENSG00000196313
MTCO3P8,ENSG00000233385
NOLC1,ENSG00000166197
MTCO3P2,ENSG00000232102
FAM149A,ENSG00000109794
MTCO3P4,ENSG00000228851
RIC8A,ENSG00000177963
PPP3R1,ENSG00000221823
PPP3R2,ENSG00000188386
RN7SKP145,ENSG00000200161
RIC8B,ENSG00000111785
TERT,ENSG00000164362
GALR3,ENSG00000128310
CHST11,ENSG00000171310
GALR2,ENSG00000182687
CHST12,ENSG00000136213
GALR1,ENSG00000166573
RNU6-208P,ENSG00000199301
CHST15,ENSG00000182022
CHST13,ENSG00000180767
CHST14,ENSG00000169105
SERF2,ENSG00000140264
LINC00676,ENSG00000234854
BRAP,ENSG00000089234
RDX,ENSG00000137710
TYSND1,ENSG00000156521
UPF3B,ENSG00000125351
BRAF,ENSG00000157764
UPF3A,ENSG00000169062
ST6GALNAC4P1,ENSG00000233469
RN7SKP134,ENSG00000200830
RN7SKP130,ENSG00000201794
RNU6-207P,ENSG00000206864
GALNTL5,ENSG00000106648
REL,ENSG00000162924
REN,ENSG00000143839
HBP1,ENSG00000283847
GALNTL6,ENSG00000174473
LINC01993,ENSG00000204277
SSU72P1,ENSG00000226547
LINC00665,ENSG00000232677
MYOM1,ENSG00000101605
TCF25,ENSG00000141002
TCF23,ENSG00000163792
TCF21,ENSG00000118526
C1ORF35,ENSG00000143793
PRSS27,ENSG00000172382
TCF20,ENSG00000283681
PRSS22,ENSG00000282937
PRSS23,ENSG00000150687
PRSS21,ENSG00000282838
MYOM3,ENSG00000142661
MRC2,ENSG00000011028
LINC00619,ENSG00000226808
DSTYK,ENSG00000133059
RN7SKP123,ENSG00000222664
LINC00615,ENSG00000196243
LINC01946,ENSG00000223647
RFK,ENSG00000135002
NUF2,ENSG00000143228
ANXA6,ENSG00000197043
ANXA7,ENSG00000138279
LINC00612,ENSG00000214851
ANXA9,ENSG00000143412
RNU6-468P,ENSG00000206730
XXYLT1,ENSG00000173950
LINC01940,ENSG00000227744
TCF19,ENSG00000224941
BRD3,ENSG00000169925
BRD2,ENSG00000234507
NUDC,ENSG00000090273
BRD1,ENSG00000100425
ANXA1,ENSG00000135046
ANXA2,ENSG00000182718
ANXA3,ENSG00000138772
IFNGR1,ENSG00000027697
ANXA4,ENSG00000196975
IFNGR2,ENSG00000262795
TESC,ENSG00000088992
ANXA5,ENSG00000164111
TCF12,ENSG00000140262
TET2,ENSG00000168769
PRSS16,ENSG00000112812
TET1,ENSG00000138336
ANKRD26P4,ENSG00000229427
C1ORF43,ENSG00000143612
PRSS12,ENSG00000164099
MRAP,ENSG00000170262
RN7SKP114,ENSG00000222259
RN7SKP111,ENSG00000222281
MRAS,ENSG00000158186
RN7SKP110,ENSG00000222078
TET3,ENSG00000187605
RGN,ENSG00000130988
HCLS1,ENSG00000180353
LINC00601,ENSG00000235180
RN7SKP118,ENSG00000201201
RNU5E-4P,ENSG00000201801
RN7SKP115,ENSG00000200047
SF3B4,ENSG00000143368
SF3B5,ENSG00000169976
SF3B2,ENSG00000087365
SF3B3,ENSG00000189091
SF3B6,ENSG00000115128
PRSS48,ENSG00000189099
AOAH,ENSG00000136250
SBSN,ENSG00000189001
PPIAP10,ENSG00000224530
RHD,ENSG00000187010
RN7SKP103,ENSG00000200718
PRSS50,ENSG00000283706
RHO,ENSG00000163914
SC5D,ENSG00000109929
BRD9,ENSG00000028310
RNU6-204P,ENSG00000199335
CCL19,ENSG00000172724
BRD8,ENSG00000112983
RN7SKP106,ENSG00000222764
BRD7,ENSG00000166164
CCL17,ENSG00000102970
SF3B1,ENSG00000115524
BRD4,ENSG00000141867
LINC00632,ENSG00000203930
CCL25,ENSG00000131142
AOC3,ENSG00000131471
SF3A3,ENSG00000183431
CCL24,ENSG00000106178
AOC1,ENSG00000002726
SF3A1,ENSG00000099995
AOC2,ENSG00000131480
CCL22,ENSG00000102962
SF3A2,ENSG00000104897
BRF2,ENSG00000104221
BRF1,ENSG00000185024
CCL20,ENSG00000115009
PPIAP26,ENSG00000150276
PPIAP28,ENSG00000226633
PRSS38,ENSG00000185888
PRSS35,ENSG00000146250
C1ORF21,ENSG00000116667
PRSS36,ENSG00000178226
PRSS33,ENSG00000103355
AGBL5,ENSG00000084693
MORN1,ENSG00000116151
AGBL4,ENSG00000186094
PRSS41,ENSG00000215148
LINC00626,ENSG00000225826
MORN4,ENSG00000171160
MORN5,ENSG00000185681
MORN2,ENSG00000188010
AGBL3,ENSG00000146856
LINC00629,ENSG00000227060
AGBL2,ENSG00000165923
MORN3,ENSG00000139714
HYLS1,ENSG00000198331
RNU6-336P,ENSG00000201761
CCL28,ENSG00000151882
CCL27,ENSG00000213927
LINC00620,ENSG00000224514
BRDT,ENSG00000137948
CCL26,ENSG00000006606
LINC01951,ENSG00000204754
PUS10,ENSG00000162927
ITGA2B,ENSG00000005961
STKLD1,ENSG00000198870
C1ORF74,ENSG00000162757
ABHD12,ENSG00000100997
ABHD13,ENSG00000139826
ABHD10,ENSG00000144827
ABHD11,ENSG00000106077
KRTAP3-2,ENSG00000263296
KRTAP3-1,ENSG00000212901
RNU6-597P,ENSG00000202490
RNU6-331P,ENSG00000207455
NKX6-2,ENSG00000148826
MREG,ENSG00000118242
RNU5E-9P,ENSG00000223096
TEX2,ENSG00000136478
CACNB1,ENSG00000067191
CTDNEP1,ENSG00000175826
CACNB2,ENSG00000165995
CACNB3,ENSG00000167535
CACNB4,ENSG00000283228
BTBD9-AS1,ENSG00000226533
TEX9,ENSG00000151575
CUL9,ENSG00000112659
CUL7,ENSG00000044090
RNU5E-6P,ENSG00000202444
CUL5,ENSG00000166266
BRI3,ENSG00000164713
CUL3,ENSG00000036257
HVCN1,ENSG00000122986
ERV3-1,ENSG00000213462
CUL2,ENSG00000108094
CUL1,ENSG00000055130
C1ORF56,ENSG00000143443
MRI1,ENSG00000037757
C1ORF54,ENSG00000118292
KLC1,ENSG00000126214
C1ORF52,ENSG00000162642
RLF,ENSG00000117000
C1ORF53,ENSG00000203724
C1ORF50,ENSG00000283580
RAD51AP1,ENSG00000111247
KLC4,ENSG00000137171
KLC3,ENSG00000104892
RAD51AP2,ENSG00000214842
KLC2,ENSG00000174996
BTBD1,ENSG00000064726
NACC2,ENSG00000148411
BTBD3,ENSG00000132640
NACC1,ENSG00000160877
BTBD2,ENSG00000133243
SAFB2,ENSG00000130254
NKX6-1,ENSG00000163623
RNU6-466P,ENSG00000212526
BTN2A2,ENSG00000124508
BTN2A1,ENSG00000112763
ABHD18,ENSG00000164074
BTBD7,ENSG00000277222
BTBD6,ENSG00000184887
GCSAM,ENSG00000284925
BTBD9,ENSG00000183826
ZZEF1,ENSG00000074755
ABHD15,ENSG00000168792
ITGA10,ENSG00000143127
ITGA11,ENSG00000137809
VAC14-AS1,ENSG00000214353
NACAD,ENSG00000136274
IFITM9P,ENSG00000213275
RNU6-598P,ENSG00000200887
RNU6-593P,ENSG00000201586
RNU6-460P,ENSG00000212460
DUSP19,ENSG00000162999
DUSP18,ENSG00000167065
DUSP15,ENSG00000149599
MAIP1,ENSG00000162972
DUSP16,ENSG00000111266
DUSP13,ENSG00000079393
DUSP11,ENSG00000144048
DUSP12,ENSG00000081721
DUSP10,ENSG00000143507
ALG1L5P,ENSG00000226943
EFHD2,ENSG00000142634
EFHD1,ENSG00000115468
OR13C1P,ENSG00000235248
LINC00691,ENSG00000224074
RNU6-592P,ENSG00000223265
REXO1,ENSG00000079313
DTX3L,ENSG00000163840
COL25A1,ENSG00000188517
DUSP28,ENSG00000188542
DUSP26,ENSG00000133878
REXO2,ENSG00000076043
REXO4,ENSG00000280706
REXO5,ENSG00000005189
DUSP22,ENSG00000112679
DUSP23,ENSG00000158716
POM121L2,ENSG00000158553
RP1,ENSG00000104237
DALRD3,ENSG00000178149
DUSP21,ENSG00000189037
RP2,ENSG00000102218
NUMB,ENSG00000133961
EFHC1,ENSG00000096093
LINC00689,ENSG00000231419
RP9,ENSG00000164610
EFHC2,ENSG00000183690
DRICH1,ENSG00000189269
MRLN,ENSG00000227877
RPE,ENSG00000197713
AMBRA1,ENSG00000110497
MRM2,ENSG00000286192
MRM3,ENSG00000171861
DCAF15,ENSG00000132017
CACNG6,ENSG00000130433
REPIN1,ENSG00000214022
DCAF16,ENSG00000163257
CACNG7,ENSG00000105605
DCAF17,ENSG00000115827
CACNG8,ENSG00000142408
RSBN1L,ENSG00000187257
CACNG1,ENSG00000108878
DCAF10,ENSG00000122741
CACNG2,ENSG00000166862
DCAF11,ENSG00000100897
DCAF12,ENSG00000198876
DCAF13,ENSG00000164934
CACNG4,ENSG00000075461
DDHD2,ENSG00000085788
DDHD1,ENSG00000100523
KLF4,ENSG00000136826
KLF3,ENSG00000109787
OXR1,ENSG00000164830
KLF2,ENSG00000127528
KLF1,ENSG00000105610
SCART1,ENSG00000214279
KLF8,ENSG00000102349
KLF7,ENSG00000118263
KLF6,ENSG00000067082
KLF5,ENSG00000102554
IMPDH1,ENSG00000106348
IMPDH2,ENSG00000178035
SERHL,ENSG00000172250
KLF9,ENSG00000119138
RUNDC1,ENSG00000198863
OXTR,ENSG00000180914
DIXDC1,ENSG00000150764
RRH,ENSG00000180245
VSIG1,ENSG00000101842
VSIG2,ENSG00000019102
MYOZ3,ENSG00000164591
MYOZ1,ENSG00000177791
SP110,ENSG00000135899
BROX,ENSG00000162819
OXSM,ENSG00000151093
PTOV1,ENSG00000104960
ALG1L8P,ENSG00000227620
UTS2B,ENSG00000188958
GBP1P1,ENSG00000290525
XRN1,ENSG00000114127
XRN2,ENSG00000088930
TFAM,ENSG00000108064
TELO2,ENSG00000100726
CUTA,ENSG00000112514
SMIM2,ENSG00000139656
IGSF8,ENSG00000162729
SMIM5,ENSG00000204323
TBCEL,ENSG00000154114
IGSF6,ENSG00000140749
IGSF3,ENSG00000143061
KLK1,ENSG00000167748
ANP32A,ENSG00000140350
TEX264,ENSG00000164081
IGSF1,ENSG00000147255
SP140,ENSG00000079263
SMIM1,ENSG00000235169
KLK5,ENSG00000167754
KLK4,ENSG00000167749
TEX261,ENSG00000144043
KLK2,ENSG00000167751
SMIM7,ENSG00000214046
KLK9,ENSG00000213022
KLK8,ENSG00000129455
KLK7,ENSG00000169035
IGSF9,ENSG00000085552
KLK6,ENSG00000167755
SMIM8,ENSG00000111850
SCAP,ENSG00000114650
SCAI,ENSG00000173611
NUS1,ENSG00000153989
BCL11B,ENSG00000127152
BCL11A,ENSG00000119866
PYHIN1,ENSG00000163564
ANKEF1,ENSG00000132623
HTR7P1,ENSG00000183935
AKR1B10,ENSG00000198074
TRBJ2-2P,ENSG00000282589
AKR1B15,ENSG00000227471
ANP32E,ENSG00000143401
SPRTN,ENSG00000010072
ANP32D,ENSG00000139223
TMCC3,ENSG00000057704
TMCC2,ENSG00000133069
ANP32B,ENSG00000136938
TMCC1,ENSG00000172765
CUTC,ENSG00000119929
KLLN,ENSG00000227268
MRS2,ENSG00000124532
HCCS,ENSG00000004961
ZNF101P2,ENSG00000234473
PPCDC,ENSG00000138621
BRS3,ENSG00000102239
SERP2,ENSG00000151778
RNU6ATAC3P,ENSG00000210709
SERP1,ENSG00000120742
KIF13A,ENSG00000137177
FFAR4,ENSG00000186188
KIF13B,ENSG00000197892
FFAR3,ENSG00000185897
FFAR2,ENSG00000126262
FFAR1,ENSG00000126266
TSC22D4,ENSG00000166925
TSC22D1,ENSG00000102804
BTN3A1,ENSG00000026950
LRRIQ3,ENSG00000162620
TSC22D3,ENSG00000157514
TFE3,ENSG00000068323
TSC22D2,ENSG00000196428
LRRIQ1,ENSG00000133640
TFEB,ENSG00000112561
BTN3A3,ENSG00000111801
BTN3A2,ENSG00000186470
RNU6ATAC4P,ENSG00000210181
TFEC,ENSG00000105967
RBM12B,ENSG00000183808
TFF2,ENSG00000160181
TFF1,ENSG00000160182
MAPRE3,ENSG00000084764
MAPRE1,ENSG00000101367
FATE1,ENSG00000147378
OR7E36P,ENSG00000205240
MAPRE2,ENSG00000166974
MRRF,ENSG00000148187
PRIM2,ENSG00000146143
SPRR3,ENSG00000163209
SP100,ENSG00000067066
PRIM1,ENSG00000198056
IFI6,ENSG00000126709
RASIP1,ENSG00000105538
SCEL,ENSG00000136155
CUX2,ENSG00000111249
RYK,ENSG00000163785
SCD5,ENSG00000145284
CAP1P2,ENSG00000232004
PUS7L,ENSG00000129317
LYVE1,ENSG00000133800
RNU6ATAC2P,ENSG00000210678
OR7E38P,ENSG00000183444
GALNT12,ENSG00000119514
GALNT11,ENSG00000178234
GALNT14,ENSG00000158089
GALNT13,ENSG00000144278
GALNT16,ENSG00000100626
GALNT15,ENSG00000131386
MTND2P23,ENSG00000232631
MTND2P21,ENSG00000230950
GALNT10,ENSG00000164574
MTND2P20,ENSG00000229701
EFTUD2,ENSG00000108883
LINC01907,ENSG00000226125
SCGN,ENSG00000079689
MTND2P18,ENSG00000234939
MTND2P16,ENSG00000230818
RNU6ATAC7P,ENSG00000221038
CADPS2,ENSG00000081803
EPDR1,ENSG00000086289
PRSS57,ENSG00000185198
MTND2P12,ENSG00000228725
HCG9,ENSG00000204625
PRSS53,ENSG00000151006
PRSS54,ENSG00000103023
SELENOO,ENSG00000073169
OXA1L,ENSG00000155463
SELENON,ENSG00000162430
SELENOM,ENSG00000198832
COL4A2,ENSG00000134871
SELENOS,ENSG00000131871
COL4A1,ENSG00000187498
KIF16B,ENSG00000089177
COL4A4,ENSG00000081052
COL4A3,ENSG00000169031
RNU6ATAC8P,ENSG00000221387
COL4A6,ENSG00000197565
SELENOW,ENSG00000178980
SCG5,ENSG00000277614
COL4A5,ENSG00000188153
SELENOV,ENSG00000186838
SELENOT,ENSG00000198843
SCG2,ENSG00000171951
